pi_version,pi_build,frame,cfa,plane,pi_min,ours_min,pi_max,ours_max,pi_mean,ours_mean,pi_median,ours_median,pi_std,ours_std,d_min,d_std_ppm,pi_mrs,pi_mrs_layers,pi_ksigma,ours_mad_sigma,our_mad,pi_mad,d_mad,ours_over_mrs,mad_grid_units
1.9.2,1632,bias,cfa3,B,52.99999999999999,53.0,88.0,88.0,69.227737426817,69.22773742675781,68.99999988076434,69.0,1.0971266225819567,1.0971266225822762,-7.105427357601002e-15,-2.9121149935917856e-07,0.9935831454442232,4,0.9839567765326809,1.4826,1.0,0.9999998807643316,-1.1923566844984634e-07,1.492175070398503,1.0
1.9.2,1632,bias,cfa2,G1,48.0,48.0,86.0,86.0,69.24080657964906,69.24080657958984,68.9999998434705,69.0,1.0991254137546127,1.0991254137546411,0.0,-2.5868196473766147e-08,0.9960146073880034,4,0.9874244269709865,1.4826,1.0,0.9999998434705002,-1.565294998062683e-07,1.4885323859737776,1.0
1.9.2,1632,bias,cfa1,G2,42.0,42.0,84.0,84.0,69.22122573858474,69.22122573852539,68.9999997987743,69.0,1.0938766882404105,1.0938766882403015,0.0,9.969802761133906e-08,0.9959456908922985,4,0.9862646534001885,1.4826,1.0,0.9999997987742936,-2.0122570643099635e-07,1.4886353880116625,1.0
1.9.2,1632,bias,cfa0,R,50.0,50.0,89.0,89.0,69.24717330938597,69.24717330932617,68.99999985840532,69.0,1.0897397760577092,1.0897397760575251,0.0,1.6897594434794883e-07,0.9941143054561051,4,0.9840799345046374,1.4826,1.0,0.9999998584053126,-1.4159468741947734e-07,1.4913777941458903,1.0
1.9.2,1632,light,cfa3,B,75.0,75.0,4095.0,4095.0,94.40159047125373,94.40159047067901,91.9999998715314,92.0,60.626504523118356,60.626504523171604,0.0,-8.782974347809613e-07,2.4475586902437234,4,2.5517019533870227,2.9652,2.0,2.0000001284684323,1.2846843233660366e-07,1.2114929099840015,2.0
1.9.2,1632,light,cfa2,G1,92.0,92.0,4095.0,4095.0,112.71664207141116,112.71664207175925,108.99999987520802,109.0,72.22453753798027,72.22453753794954,0.0,4.2543746303636e-07,3.0514772809508632,4,3.277469167862984,4.4478,3.0,2.999999875207731,-1.247922689628922e-07,1.4575890922622343,3.0
1.9.2,1632,light,cfa1,G2,89.99999999999999,90.0,4095.0,4095.0,112.70689043174816,112.70689043209876,108.99999986127673,109.0,72.19029712323646,72.19029712323255,-1.4210854715202004e-14,5.417888360170764e-08,3.043318457189173,4,3.2768371480673677,4.4478,3.0,2.9999998612765695,-1.387234305205709e-07,1.4614967386975384,3.0
1.9.2,1632,light,cfa0,R,91.0,91.0,4095.0,4095.0,112.3689597797033,112.3689597800926,107.99999987659004,108.0,75.6229159808763,75.62291598088123,0.0,-6.517009154549669e-08,3.0018185130796797,4,3.3012062479005837,4.4478,3.0,2.999999876589867,-1.234101327796111e-07,1.4817018352774542,3.0
