pair,injected_sigma,truth,pedestal,format,truncated,bits,is_real,sigma,min,median,frac_below_zero,frac_at_zero,err_pct,recovered_sigma
narrow,20.0,28.276291772403713,0.5,f32,False,32,True,28.2762979487612,0.4680171012878418,0.4999999899533317,0.0,0.0,2.18428835685458e-05,19.99436202642031
narrow,20.0,28.276291772403713,0.5,f32,True,32,True,28.2762979487612,0.4680171012878418,0.4999999899533317,0.0,0.0,2.18428835685458e-05,19.99436202642031
narrow,20.0,28.276291772403713,0.5,i16,False,16,False,28.27629177240561,0.46802471961547265,0.5000076295109097,0.0,0.0,6.7057470687359455e-12,19.994357659077387
narrow,20.0,28.276291772403713,0.5,i16,True,16,False,28.27629177240561,0.46802471961547265,0.5000076295109097,0.0,0.0,6.7057470687359455e-12,19.994357659077387
narrow,20.0,28.276291772403713,0.0,f32,False,32,True,28.276291765820122,-0.0319829098880291,-2.4198835632082915e-10,0.49343109130859375,0.014347076416015625,-2.328307546761721e-08,19.994357654420742
narrow,20.0,28.276291772403713,0.0,f32,True,32,True,16.513226641661447,0.0,0.0,0.0,0.5077781677246094,-41.60045180401784,11.676614537589167
narrow,20.0,28.276291772403713,0.0,i16,False,16,False,2025.3349966783878,0.0,0.01709010452427667,0.0,0.014347076416015625,7062.661260466327,1432.1281103257215
narrow,20.0,28.276291772403713,0.0,i16,True,16,False,16.51322664550825,0.0,0.0,0.0,0.5077781677246094,-41.60045179041349,11.676614540309268
wide,600.0,846.0389140508579,0.5,f32,False,32,True,846.0389198936987,-0.386732280254364,0.49902339043474375,0.007991790771484375,0.0,6.906113458882146e-07,598.2398574045766
wide,600.0,846.0389140508579,0.5,f32,True,32,True,834.0466915228141,0.0,0.49902339280015595,0.0,0.007991790771484375,-1.4174551937126356,589.7600714019864
wide,600.0,846.0389140508579,0.5,i16,False,16,False,824.5946072533134,0.0,0.4990310521086533,0.0,3.4332275390625e-05,-2.5346714484879462,583.0764385186757
wide,600.0,846.0389140508579,0.5,i16,True,16,False,834.0467049162557,0.0,0.4990310521090317,0.0,0.007991790771484375,-1.41745361063631,589.7600808725798
wide,600.0,846.0389140508579,0.0,f32,False,32,True,846.0389196636253,-0.886732280254364,-0.0009224989009644551,0.5017318725585938,0.000518798828125,6.634171656472176e-07,598.2398572418901
wide,600.0,846.0389140508579,0.0,f32,True,32,True,492.899430965036,0.0,0.0,0.0,0.5022506713867188,-41.74033572462763,348.5325300783675
wide,600.0,846.0389140508579,0.0,i16,False,16,False,1464.6265200270109,0.0,0.5068436713201946,0.0,0.000518798828125,73.11573920569899,1035.6473442167542
wide,600.0,846.0389140508579,0.0,i16,True,16,False,492.8994281250523,0.0,0.0,0.0,0.5022506713867188,-41.74033606030767,348.5325280701957
