gain,plane,rung,rung_pct_planned,pct_of_tsat,exptime_s,pedestal,signal,var_pair,var_pair_spread,var_single,sat_frac,R_counts,ccd_temp,n_frames,g_point,usable,sub_refresh
0,R,0,0.3,0.3000006828390865,0.074091,62.729112243652345,12.040123367309569,1.7093683418374654,0.009874390038197678,1.7406483471134604,0.0,0.6601939786364249,-9.5,4,9.454265826283084,True,False
0,G1,0,0.3,0.3000006828390865,0.074091,62.717258834838866,6.6064888000488295,1.134218863381389,0.0002492723192735191,1.1488223208562482,0.0,0.6601939786364249,-9.5,4,9.459967006328151,True,False
0,G2,0,0.3,0.3000006828390865,0.074091,62.73023452758789,6.559588050842287,1.1292578213457065,0.0016462685025093737,1.143184151807746,0.0,0.6601939786364249,-9.5,4,9.460011056936354,True,False
0,B,0,0.3,0.3000006828390865,0.074091,62.731997680664065,4.704188156127927,0.9321024667016031,0.004561014439133038,0.9462860251690113,0.0,0.6601939786364249,-9.5,4,9.479541557504058,True,False
0,R,1,0.5,0.5000011380651441,0.123485,62.729112243652345,19.926163101196288,2.5560386744357277,0.018161154247902545,2.6124669731804495,0.0,0.6601939786364249,-9.5,4,9.39832410760119,True,False
0,G1,1,0.5,0.5000011380651441,0.123485,62.717258834838866,10.859127616882326,1.6032164986148683,0.007247723878351486,1.6290669957799917,0.0,0.6601939786364249,-9.5,4,9.302292189645511,True,False
0,G2,1,0.5,0.5000011380651441,0.123485,62.73023452758789,10.786583518981935,1.5921348546449638,0.0019933051958358483,1.6215143964221341,0.0,0.6601939786364249,-9.5,4,9.328705017735066,True,False
0,B,1,0.5,0.5000011380651441,0.123485,62.731997680664065,7.670345115661618,1.2720317258679241,0.005363145063402852,1.2921871127014815,0.0,0.6601939786364249,-9.5,4,9.173126770730537,True,False
0,R,2,0.85,0.8499999101687437,0.209924,62.729112243652345,33.990715408325194,4.010069984990494,0.009255296233756205,4.147123523100873,0.0,0.6601939786364249,-9.5,4,9.509983566043383,True,False
0,G1,2,0.85,0.8499999101687437,0.209924,62.717258834838866,18.57463607788086,2.4314633316392955,0.015613287060543879,2.483056292182426,0.0,0.6601939786364249,-9.5,4,9.307761409653292,True,False
0,G2,2,0.85,0.8499999101687437,0.209924,62.73023452758789,18.451140022277833,2.418894541383498,0.006830430721404657,2.471342492664646,0.0,0.6601939786364249,-9.5,4,9.304479196599043,True,False
0,B,2,0.85,0.8499999101687437,0.209924,62.731997680664065,13.11934833526611,1.8594094417753326,0.007161837259375359,1.9012239709657535,0.0,0.6601939786364249,-9.5,4,9.21591615349813,True,False
0,R,3,1.4,1.3999991374984009,0.345757,62.729112243652345,55.94098892211914,6.327398948279296,0.023064643584918443,6.618234036437108,0.0,0.6601939786364249,-9.5,4,9.49513400179597,True,False
0,G1,3,1.4,1.3999991374984009,0.345757,62.717258834838866,30.565396881103517,3.7282966784784293,0.028581626516852587,3.8478481475220874,0.0,0.6601939786364249,-9.5,4,9.283507493727301,True,False
0,G2,3,1.4,1.3999991374984009,0.345757,62.73023452758789,30.36762580871582,3.702873298745806,0.028231286802655742,3.8275918629623096,0.0,0.6601939786364249,-9.5,4,9.29521452231806,True,False
0,B,3,1.4,1.3999991374984009,0.345757,62.731997680664065,21.564122962951657,2.7866564167635763,0.013565171386701547,2.849402516665917,0.0,0.6601939786364249,-9.5,4,9.173098502751518,True,False
0,R,4,2.4,2.400001413628689,0.592727,62.729112243652345,96.21632328033448,10.744861442285881,0.016622388283712652,11.451514289336219,0.0,0.6601939786364249,-9.5,4,9.333230509348729,True,False
0,G1,4,2.4,2.400001413628689,0.592727,62.717258834838866,52.61005172729492,6.067391559071153,0.013638027872762137,6.405892012184713,0.0,0.6601939786364249,-9.5,4,9.342043925833014,True,False
0,G2,4,2.4,2.400001413628689,0.592727,62.73023452758789,52.28219757080078,6.010772408785449,0.01018032912852096,6.335811082802836,0.0,0.6601939786364249,-9.5,4,9.378113423740995,True,False
0,B,4,2.4,2.400001413628689,0.592727,62.731997680664065,37.19169979095459,4.4492456079575735,0.012155067159298483,4.57967877787543,0.0,0.6601939786364249,-9.5,4,9.266905098356604,True,False
0,R,5,4.0,4.0000010063531475,0.987878,62.729112243652345,160.9748167037964,17.86646511912669,0.11206623908935853,19.693531981203673,0.0,0.6601939786364249,-9.5,4,9.235180275658854,True,False
0,G1,5,4.0,4.0000010063531475,0.987878,62.717258834838866,87.75701961517333,9.854584574509772,0.003578427023066766,10.74419078872452,0.0,0.6601939786364249,-9.5,4,9.317289457294459,True,False
0,G2,5,4.0,4.0000010063531475,0.987878,62.73023452758789,87.20222816467285,9.760246445272703,0.06395686472981943,10.586656889748465,0.0,0.6601939786364249,-9.5,4,9.352056792647137,True,False
