gain,plane,roi,rung,rung_pct,exptime,periods,patch,level,pedestal,signal_raw,monitor_factor,signal,repeat_spread,pinned_frac,usable,ccd_temp
50,R,128,0,25.0,15.825755,930.9267647058822,"85,255,235",1113.9349772135417,64.88227190290179,1049.05270531064,1.0017230535378931,1047.2472034700047,0.9648951026676708,0.0,True,-10.0
50,G1,128,0,25.0,15.825755,930.9267647058822,"85,255,235",1068.6002604166667,64.87901088169643,1003.7212495349703,1.0023680085426976,1001.3496700885727,0.3272766210686603,0.0,True,-10.0
50,G2,128,0,25.0,15.825755,930.9267647058822,"85,255,235",1067.19091796875,64.89858572823661,1002.2923322405134,1.0022250610710606,1000.0664086668872,0.683424621974798,0.0,True,-10.0
50,B,128,0,25.0,15.825755,930.9267647058822,"85,255,235",1093.88818359375,64.90562220982143,1028.9825613839287,1.0026646035625297,1026.2473598560916,0.6710962219640431,0.0,True,-10.0
50,R,256,0,25.0,15.825755,930.9267647058822,"85,255,235",1113.6453653971355,64.88227190290179,1048.7630934942338,1.0017325633871137,1046.948242710359,0.8257843672048198,0.0,True,-10.0
50,G1,256,0,25.0,15.825755,930.9267647058822,"85,255,235",1068.1408284505208,64.87901088169643,1003.2618175688243,1.002329079247022,1000.9299831372936,0.5037981149104475,0.0,True,-10.0
50,G2,256,0,25.0,15.825755,930.9267647058822,"85,255,235",1067.0253499348958,64.89858572823661,1002.1267642066591,1.002226156812813,999.9002049593997,0.6685426732051987,0.0,True,-10.0
50,B,256,0,25.0,15.825755,930.9267647058822,"85,255,235",1093.5909016927083,64.90562220982143,1028.685279482887,1.0027043641116755,1025.9103762022116,0.5652645917340784,0.0,True,-10.0
50,R,512,0,25.0,15.825755,930.9267647058822,"85,255,235",1111.2554931640625,64.88227190290179,1046.3732212611608,1.0017191798330045,1044.5766216614904,0.6819505570465398,0.0,True,-10.0
50,G1,512,0,25.0,15.825755,930.9267647058822,"85,255,235",1065.9219868977864,64.87901088169643,1001.0429760160899,1.0022967975308583,998.7483934264486,0.6157404496920573,0.0,True,-10.0
50,G2,512,0,25.0,15.825755,930.9267647058822,"85,255,235",1064.8371683756511,64.89858572823661,999.9385826474145,1.0023625848464162,997.581057333004,0.6695748522280359,0.0,True,-10.0
50,B,512,0,25.0,15.825755,930.9267647058822,"85,255,235",1091.2682342529297,64.90562220982143,1026.3626120431084,1.002639594606908,1023.6599564598449,0.6226798111950043,0.0,True,-10.0
50,R,1024,0,25.0,15.825755,930.9267647058822,"85,255,235",1102.5713284810383,64.88227190290179,1037.6890565781366,1.0017411092149322,1035.8847131669843,0.6700303359730863,0.0,True,-10.0
50,G1,1024,0,25.0,15.825755,930.9267647058822,"85,255,235",1057.5575091044109,64.87901088169643,992.6784982227144,1.0022640125330358,990.4354746632195,0.6199754030485819,0.0,True,-10.0
50,G2,1024,0,25.0,15.825755,930.9267647058822,"85,255,235",1056.6200281778972,64.89858572823661,991.7214424496606,1.0023002877128762,989.4447558335017,0.6295277973749325,0.0,True,-10.0
50,B,1024,0,25.0,15.825755,930.9267647058822,"85,255,235",1082.5444463094075,64.90562220982143,1017.638824099586,1.0026376700495188,1014.961070525056,0.6477198249609745,0.0,True,-10.0
50,R,128,1,31.0,19.623936,1154.3491764705882,"85,255,235",1362.519775390625,64.88227190290179,1297.6375034877233,0.9984642235432749,1299.6339892862916,2.045098917970541,0.0,True,-10.0
50,G1,128,1,31.0,19.623936,1154.3491764705882,"85,255,235",1306.2701009114583,64.87901088169643,1241.391090029762,0.9993615312756979,1242.185110403195,2.1734492567136936,0.0,True,-10.0
50,G2,128,1,31.0,19.623936,1154.3491764705882,"85,255,235",1304.779052734375,64.89858572823661,1239.8804670061384,0.9992055801855106,1240.867281252159,2.264791905452857,0.0,True,-10.0
50,B,128,1,31.0,19.623936,1154.3491764705882,"85,255,235",1337.7386881510417,64.90562220982143,1272.8330659412204,0.9998639703012886,1273.006861666134,2.092290629380637,0.0,True,-10.0
