file,t,exptime,level,minutes,flux,arm
stab_drift_0000.fits,2026-09-12T09:46:07.029,8.76101,1003.259999593099,0.0,114.51419409327222,drift
stab_drift_0001.fits,2026-09-12T09:46:15.954,8.76101,1003.3841451009115,0.14875000000000002,114.52836432111268,drift
stab_drift_0002.fits,2026-09-12T09:46:24.875,8.76101,1003.7201436360677,0.2974333333333333,114.56671589646258,drift
stab_drift_0003.fits,2026-09-12T09:46:33.799,8.76101,1004.1881612141927,0.44616666666666666,114.62013640141863,drift
stab_drift_0004.fits,2026-09-12T09:46:42.721,8.76101,1001.8069356282552,0.5948666666666667,114.34833833407966,drift
stab_drift_0005.fits,2026-09-12T09:46:51.635,8.76101,1003.697987874349,0.7434333333333334,114.56418699149401,drift
stab_drift_0006.fits,2026-09-12T09:47:00.552,8.76101,1003.6658833821615,0.89205,114.5605225176277,drift
stab_drift_0007.fits,2026-09-12T09:47:09.491,8.76101,1003.859120686849,1.0410333333333335,114.58257902762911,drift
stab_drift_0008.fits,2026-09-12T09:47:18.410,8.76101,1004.4102071126302,1.1896833333333334,114.64548118454724,drift
stab_drift_0009.fits,2026-09-12T09:47:27.356,8.76101,1007.9788716634115,1.3387833333333332,115.0528160181773,drift
stab_drift_0010.fits,2026-09-12T09:47:36.326,8.76101,1003.943105061849,1.4882833333333332,114.5921651797965,drift
stab_drift_0011.fits,2026-09-12T09:47:45.235,8.76101,1002.5786641438802,1.6367666666666667,114.43642504047823,drift
stab_drift_0012.fits,2026-09-12T09:47:54.152,8.76101,1002.311269124349,1.7853833333333333,114.40590401384645,drift
stab_drift_0013.fits,2026-09-12T09:48:03.047,8.76101,1003.9142354329427,1.9336333333333333,114.58886993998895,drift
stab_drift_0014.fits,2026-09-12T09:48:11.961,8.76101,1004.4661153157552,2.0822,114.65186266375169,drift
stab_drift_0015.fits,2026-09-12T09:48:20.907,8.76101,1004.6793721516927,2.2312999999999996,114.67620424490929,drift
stab_drift_0016.fits,2026-09-12T09:48:29.822,8.76101,1004.9556172688802,2.3798833333333334,114.70773544019242,drift
stab_drift_0017.fits,2026-09-12T09:48:38.733,8.76101,1002.6110127766927,2.5284,114.44011738106596,drift
stab_drift_0018.fits,2026-09-12T09:48:47.649,8.76101,1004.450429280599,2.677,114.65007222690066,drift
stab_drift_0019.fits,2026-09-12T09:48:56.594,8.76101,1004.857655843099,2.8260833333333335,114.69655391822391,drift
stab_drift_0020.fits,2026-09-12T09:49:05.515,8.76101,1003.9163106282552,2.9747666666666666,114.589106807121,drift
stab_drift_0021.fits,2026-09-12T09:49:14.421,8.76101,1003.294423421224,3.1231999999999998,114.518123300992,drift
stab_drift_0022.fits,2026-09-12T09:49:23.340,8.76101,1002.8599141438802,3.27185,114.4685275035504,drift
stab_drift_0023.fits,2026-09-12T09:49:32.255,8.76101,1002.8580220540365,3.4204333333333334,114.46831153645942,drift
