elapsed_s,date_obs,pedestal,ccd_temp
0.0,2026-08-28T20:42:00.687,68.77764511108398,-9.5
2.0,2026-08-28T20:42:02.687,68.26564598083496,-9.5
4.0,2026-08-28T20:42:04.687,68.26062965393066,-10.0
6.0,2026-08-28T20:42:06.687,68.78885078430176,-10.0
8.001,2026-08-28T20:42:08.688,68.26531219482422,-10.0
10.001,2026-08-28T20:42:10.688,68.78128242492676,-10.0
12.001,2026-08-28T20:42:12.688,68.77959632873535,-10.0
14.0,2026-08-28T20:42:14.687,68.78318405151367,-10.0
16.0,2026-08-28T20:42:16.687,68.7845458984375,-10.0
18.0,2026-08-28T20:42:18.687,68.78485870361328,-10.0
20.0,2026-08-28T20:42:20.687,68.26776123046875,-10.0
22.0,2026-08-28T20:42:22.687,68.78133201599121,-10.0
24.001,2026-08-28T20:42:24.688,68.78188705444336,-10.0
26.0,2026-08-28T20:42:26.687,68.26294326782227,-10.0
28.0,2026-08-28T20:42:28.687,68.77626991271973,-10.0
30.0,2026-08-28T20:42:30.687,68.78034782409668,-10.0
32.0,2026-08-28T20:42:32.687,68.78438568115234,-10.0
34.0,2026-08-28T20:42:34.687,68.78628730773926,-10.0
36.001,2026-08-28T20:42:36.688,68.26922416687012,-10.0
38.0,2026-08-28T20:42:38.687,68.78217887878418,-10.0
40.0,2026-08-28T20:42:40.687,68.78221702575684,-10.0
42.0,2026-08-28T20:42:42.687,68.26198959350586,-10.0
44.0,2026-08-28T20:42:44.687,68.78053855895996,-10.0
46.0,2026-08-28T20:42:46.687,68.78398323059082,-10.0
48.0,2026-08-28T20:42:48.687,68.26105308532715,-10.0
50.0,2026-08-28T20:42:50.687,68.78026008605957,-10.0
52.001,2026-08-28T20:42:52.688,68.77788925170898,-10.0
54.0,2026-08-28T20:42:54.687,68.77727508544922,-10.0
56.0,2026-08-28T20:42:56.687,68.27047920227051,-10.0
58.0,2026-08-28T20:42:58.687,68.78722381591797,-10.0
60.001,2026-08-28T20:43:00.688,68.77328491210938,-10.0
62.0,2026-08-28T20:43:02.687,68.27597045898438,-10.0
64.0,2026-08-28T20:43:04.687,68.7770938873291,-10.0
66.001,2026-08-28T20:43:06.688,68.78473091125488,-10.0
68.0,2026-08-28T20:43:08.687,68.78487396240234,-10.0
70.001,2026-08-28T20:43:10.688,68.27612686157227,-10.0
72.0,2026-08-28T20:43:12.687,68.78044509887695,-10.0
74.0,2026-08-28T20:43:14.687,68.26578521728516,-10.0
76.001,2026-08-28T20:43:16.688,68.26693916320801,-10.0
78.0,2026-08-28T20:43:18.687,68.27747344970703,-10.0
80.0,2026-08-28T20:43:20.687,68.26467895507812,-10.0
82.0,2026-08-28T20:43:22.687,68.77736473083496,-10.0
84.001,2026-08-28T20:43:24.688,68.78033447265625,-10.0
86.0,2026-08-28T20:43:26.687,68.26546669006348,-10.0
88.001,2026-08-28T20:43:28.688,68.78787803649902,-10.0
90.0,2026-08-28T20:43:30.687,68.26609992980957,-10.0
92.0,2026-08-28T20:43:32.687,68.26529884338379,-10.0
94.001,2026-08-28T20:43:34.688,68.77921295166016,-10.0
96.001,2026-08-28T20:43:36.688,68.77816963195801,-10.0
98.0,2026-08-28T20:43:38.687,68.7775650024414,-10.0
100.0,2026-08-28T20:43:40.687,68.77912712097168,-10.0
102.0,2026-08-28T20:43:42.687,68.2684097290039,-10.0
104.0,2026-08-28T20:43:44.687,68.78311538696289,-10.5
106.001,2026-08-28T20:43:46.688,68.27289199829102,-10.5
108.0,2026-08-28T20:43:48.687,68.77969169616699,-10.5
110.0,2026-08-28T20:43:50.687,68.26696395874023,-10.5
112.0,2026-08-28T20:43:52.687,68.77649879455566,-10.5
114.0,2026-08-28T20:43:54.687,68.26943969726562,-10.5
116.0,2026-08-28T20:43:56.687,68.27039527893066,-10.5
118.0,2026-08-28T20:43:58.687,68.78280830383301,-10.5
120.0,2026-08-28T20:44:00.687,68.79330825805664,-10.0
122.0,2026-08-28T20:44:02.687,68.77815437316895,-10.0
124.0,2026-08-28T20:44:04.687,68.77867889404297,-10.0
126.0,2026-08-28T20:44:06.687,68.78188514709473,-10.0
128.0,2026-08-28T20:44:08.687,68.77285575866699,-10.0
130.0,2026-08-28T20:44:10.687,68.77957534790039,-10.0
132.0,2026-08-28T20:44:12.687,68.27453994750977,-10.0
134.0,2026-08-28T20:44:14.687,68.77741241455078,-10.0
136.0,2026-08-28T20:44:16.687,68.27346801757812,-10.0
138.001,2026-08-28T20:44:18.688,68.78248596191406,-10.0
140.001,2026-08-28T20:44:20.688,68.77082824707031,-10.0
142.0,2026-08-28T20:44:22.687,68.78608322143555,-10.0
144.0,2026-08-28T20:44:24.687,68.78594207763672,-10.0
146.0,2026-08-28T20:44:26.687,68.77510643005371,-10.5
148.0,2026-08-28T20:44:28.687,68.77655410766602,-10.5
150.0,2026-08-28T20:44:30.687,68.26092910766602,-10.5
152.001,2026-08-28T20:44:32.688,68.26374244689941,-10.5
154.001,2026-08-28T20:44:34.688,68.78252029418945,-10.5
156.0,2026-08-28T20:44:36.687,68.78278541564941,-10.5
158.0,2026-08-28T20:44:38.687,68.78089332580566,-10.0
160.0,2026-08-28T20:44:40.687,68.26493835449219,-10.0
162.0,2026-08-28T20:44:42.687,68.77809715270996,-10.0
164.0,2026-08-28T20:44:44.687,68.7840576171875,-10.0
166.0,2026-08-28T20:44:46.687,68.26526641845703,-10.0
168.0,2026-08-28T20:44:48.687,68.26840019226074,-10.0
170.0,2026-08-28T20:44:50.687,68.78256416320801,-10.0
172.0,2026-08-28T20:44:52.687,68.77706909179688,-10.0
174.0,2026-08-28T20:44:54.687,68.7746639251709,-10.0
176.0,2026-08-28T20:44:56.687,68.78027153015137,-10.0
178.0,2026-08-28T20:44:58.687,68.26587677001953,-10.0
180.0,2026-08-28T20:45:00.687,68.78273963928223,-10.0
182.0,2026-08-28T20:45:02.687,68.78085327148438,-10.0
184.001,2026-08-28T20:45:04.688,68.26483154296875,-10.0
186.0,2026-08-28T20:45:06.687,68.78610420227051,-10.0
188.0,2026-08-28T20:45:08.687,68.77900695800781,-10.0
190.001,2026-08-28T20:45:10.688,68.7813777923584,-10.0
192.0,2026-08-28T20:45:12.687,68.26347160339355,-10.0
194.0,2026-08-28T20:45:14.687,68.77720069885254,-10.0
196.0,2026-08-28T20:45:16.687,68.26424407958984,-10.0
198.0,2026-08-28T20:45:18.687,68.26806831359863,-10.0
200.0,2026-08-28T20:45:20.687,68.27059364318848,-10.0
202.0,2026-08-28T20:45:22.687,68.77805709838867,-10.0
204.0,2026-08-28T20:45:24.687,68.77873992919922,-10.0
206.0,2026-08-28T20:45:26.687,68.26981735229492,-10.0
208.0,2026-08-28T20:45:28.687,68.77941131591797,-10.0
210.0,2026-08-28T20:45:30.687,68.26451683044434,-10.0
212.0,2026-08-28T20:45:32.687,68.7756462097168,-10.0
214.0,2026-08-28T20:45:34.687,68.77676963806152,-10.0
216.001,2026-08-28T20:45:36.688,68.78527069091797,-10.0
218.0,2026-08-28T20:45:38.687,68.27141571044922,-10.0
220.0,2026-08-28T20:45:40.687,68.26510810852051,-10.0
222.0,2026-08-28T20:45:42.687,68.26733207702637,-10.0
224.0,2026-08-28T20:45:44.687,68.78915023803711,-10.0
226.0,2026-08-28T20:45:46.687,68.78076553344727,-10.0
228.0,2026-08-28T20:45:48.687,68.26532173156738,-10.0
230.0,2026-08-28T20:45:50.687,68.77929306030273,-10.0
232.0,2026-08-28T20:45:52.687,68.2614917755127,-10.0
234.0,2026-08-28T20:45:54.687,68.26727485656738,-10.0
236.0,2026-08-28T20:45:56.687,68.26078796386719,-10.0
238.0,2026-08-28T20:45:58.687,68.2584171295166,-10.0
240.001,2026-08-28T20:46:00.688,68.27140426635742,-10.0
242.001,2026-08-28T20:46:02.688,68.26667404174805,-10.0
244.0,2026-08-28T20:46:04.687,68.26752281188965,-10.0
246.0,2026-08-28T20:46:06.687,68.77773857116699,-10.0
248.001,2026-08-28T20:46:08.688,68.26106452941895,-10.0
250.001,2026-08-28T20:46:10.688,68.27138710021973,-10.0
252.001,2026-08-28T20:46:12.688,68.77470397949219,-10.0
254.0,2026-08-28T20:46:14.687,68.78340339660645,-10.0
256.0,2026-08-28T20:46:16.687,68.26214599609375,-10.0
258.0,2026-08-28T20:46:18.687,68.2621078491211,-10.0
260.0,2026-08-28T20:46:20.687,68.77513694763184,-10.0
262.0,2026-08-28T20:46:22.687,68.26426124572754,-10.0
264.0,2026-08-28T20:46:24.687,68.26082420349121,-10.0
266.0,2026-08-28T20:46:26.687,68.25951385498047,-10.0
268.0,2026-08-28T20:46:28.687,68.26712989807129,-10.5
270.0,2026-08-28T20:46:30.687,68.77995681762695,-10.5
272.0,2026-08-28T20:46:32.687,68.2676773071289,-10.5
274.001,2026-08-28T20:46:34.688,68.26784896850586,-10.0
276.001,2026-08-28T20:46:36.688,68.78081893920898,-10.0
278.0,2026-08-28T20:46:38.687,68.77758979797363,-10.0
280.0,2026-08-28T20:46:40.687,68.77985954284668,-10.0
282.0,2026-08-28T20:46:42.687,68.26506805419922,-10.0
284.001,2026-08-28T20:46:44.688,68.77734375,-10.0
286.0,2026-08-28T20:46:46.687,68.26297950744629,-10.0
288.0,2026-08-28T20:46:48.687,68.2599105834961,-10.0
290.0,2026-08-28T20:46:50.687,68.77570343017578,-10.5
292.0,2026-08-28T20:46:52.687,68.77213859558105,-10.5
294.0,2026-08-28T20:46:54.687,68.26218223571777,-10.5
296.0,2026-08-28T20:46:56.687,68.26290321350098,-10.0
298.0,2026-08-28T20:46:58.687,68.78128814697266,-10.5
300.0,2026-08-28T20:47:00.687,68.77537536621094,-10.5
302.001,2026-08-28T20:47:02.688,68.77613258361816,-10.0
304.0,2026-08-28T20:47:04.687,68.77138710021973,-10.0
306.001,2026-08-28T20:47:06.688,68.2786636352539,-10.0
308.0,2026-08-28T20:47:08.687,68.26774597167969,-10.0
310.0,2026-08-28T20:47:10.687,68.26180267333984,-10.0
312.0,2026-08-28T20:47:12.687,68.77504348754883,-10.0
314.001,2026-08-28T20:47:14.688,68.77490234375,-10.0
316.0,2026-08-28T20:47:16.687,68.27554130554199,-10.0
318.0,2026-08-28T20:47:18.687,68.78299331665039,-10.0
320.0,2026-08-28T20:47:20.687,68.78828620910645,-10.0
322.0,2026-08-28T20:47:22.687,68.77430534362793,-10.0
324.0,2026-08-28T20:47:24.687,68.77883720397949,-10.0
326.0,2026-08-28T20:47:26.687,68.26045036315918,-10.0
328.0,2026-08-28T20:47:28.687,68.25721549987793,-10.0
330.0,2026-08-28T20:47:30.687,68.2728214263916,-10.0
332.0,2026-08-28T20:47:32.687,68.77585792541504,-10.0
334.0,2026-08-28T20:47:34.687,68.77867889404297,-10.0
336.0,2026-08-28T20:47:36.687,68.26595687866211,-10.0
338.0,2026-08-28T20:47:38.687,68.2672176361084,-10.0
340.0,2026-08-28T20:47:40.687,68.7804012298584,-10.0
342.0,2026-08-28T20:47:42.687,68.7816276550293,-10.0
344.001,2026-08-28T20:47:44.688,68.7835807800293,-10.0
346.0,2026-08-28T20:47:46.687,68.77599143981934,-10.0
348.0,2026-08-28T20:47:48.687,68.76768112182617,-10.0
350.0,2026-08-28T20:47:50.687,68.26449394226074,-10.0
352.0,2026-08-28T20:47:52.687,68.77033233642578,-10.0
354.0,2026-08-28T20:47:54.687,68.77620124816895,-10.0
356.0,2026-08-28T20:47:56.687,68.26835250854492,-10.0
358.0,2026-08-28T20:47:58.687,68.26236152648926,-10.0
360.0,2026-08-28T20:48:00.687,68.25557518005371,-10.0
